word,textOption_1,textOption_2,option_1,option_2,sound
kaka,kaka,kakā,kaka,kakaa,tutahi_kaka5_dur
kakaa,kaka,kakā,kaka,kakaa,tutahi_kakā3_dur
keke,keke,kekē,keke,kekee,tutahi_keke4_dur
kekee,keke,kekē,keke,kekee,tutahi_kekē2_dur
koko,koko,kokō,koko,kokoo,tutahi_koko4_dur
kokoo,koko,kokō,koko,kokoo,tutahi_kokō1_dur
