word,textOption_1,textOption_2,option_1,option_2,sound
haatata,hatata,hātata,hatata,haatata,haatata_R002M-01_dur
hata,hata,hāta,hata,haata,hata_R002M-01_dur
heetata,hetata,hētata,hetata,heetata,heetata_R002M-01_dur
heta,heta,hēta,heta,heeta,heta_R002M-01_dur
hootata,hotata,hōtata,hotata,hootata,hootata_R002M-01_dur
hota,hota,hōta,hota,hoota,hota_R002M-01_dur
